lemme,cgram,genre,freqlem,forms
brûler,VER,,108.06,"brûler, brûlé/brûlée (brûlant)"
installer,VER,,107.348,"installer, installé/installée (installant)"
protéger,VER,,107.31800000000001,"protéger, protégé/protégée (protégeant)"
prévenir,VER,,107.056,"prévenir, prévenu/prévenue (prévenant)"
remonter,VER,,106.85399999999998,"remonter, remonté/remontée (remontant)"
couvrir,VER,,106.378,"couvrir, couvert/couverte (couvrant)"
réfléchir,VER,,105.64599999999999,"réfléchir, réfléchi/réfléchie (réfléchissant)"
remarquer,VER,,105.2,"remarquer, remarqué/remarquée (remarquant)"
charger,VER,,104.676,"charger, chargé/chargée (chargeant)"
accompagner,VER,,104.12,"accompagner, accompagné/accompagnée (accompagnant)"
tendre,VER,,103.33,"tendre, tendu/tendue (tendant)"
inviter,VER,,103.018,"inviter, invité/invitée (invitant)"
rouler,VER,,102.472,"rouler, roulé/roulée (roulant)"
pardonner,VER,,101.512,"pardonner, pardonné/pardonnée (pardonnant)"
retenir,VER,,100.51599999999999,"retenir, retenu/retenue (retenant)"
arranger,VER,,100.008,"arranger, arrangé/arrangée (arrangeant)"
risquer,VER,,99.968,"risquer, risqué/risquée (risquant)"
détester,VER,,98.77799999999999,"détester, détesté/détestée (détestant)"
tenter,VER,,98.634,"tenter, tenté/tentée (tentant)"
obliger,VER,,98.006,"obliger, obligé/obligée (obligeant)"
supposer,VER,,97.18599999999999,"supposer, supposé/supposée (supposant)"
éviter,VER,,96.67,"éviter, évité/évitée (évitant)"
détruire,VER,,96.592,"détruire, détruit/détruite (détruisant)"
filer,VER,,95.98599999999999,"filer, filé/filée (filant)"
épouser,VER,,94.97200000000001,"épouser, épousé/épousée (épousant)"
déranger,VER,,93.766,"déranger, dérangé/dérangée (dérangeant)"
fumer,VER,,92.85,"fumer, fumé/fumée (fumant)"
reposer,VER,,90.688,"reposer, reposé/reposée (reposant)"
traiter,VER,,90.396,"traiter, traité/traitée (traitant)"
remercier,VER,,90.004,"remercier, remercié/remerciée (remerciant)"
apparaître,VER,,89.97200000000001,"apparaître, apparu/apparue (apparaissant)"
emporter,VER,,89.924,"emporter, emporté/emportée (emportant)"
proposer,VER,,89.876,"proposer, proposé/proposée (proposant)"
attraper,VER,,89.648,"attraper, attrapé/attrapée (attrapant)"
deviner,VER,,88.582,"deviner, deviné/devinée (devinant)"
traîner,VER,,88.402,"traîner, traîné/traînée (traînant)"
attaquer,VER,,87.942,"attaquer, attaqué/attaquée (attaquant)"
atteindre,VER,,87.802,"atteindre, atteint/atteinte (atteignant)"
retirer,VER,,87.48,"retirer, retiré/retirée (retirant)"
annoncer,VER,,86.97,"annoncer, annoncé/annoncée (annonçant)"
respirer,VER,,86.62,"respirer, respiré/respirée (respirant)"
baiser,VER,,85.33999999999999,"baiser, baisé/baisée (baisant)"
appartenir,VER,,85.286,"appartenir, appartenu (appartenant)"
durer,VER,,85.28200000000001,"durer, duré/durée (durant)"
obtenir,VER,,85.22800000000001,"obtenir, obtenu/obtenue (obtenant)"
dégager,VER,,84.69800000000001,"dégager, dégagé/dégagée (dégageant)"
baisser,VER,,84.322,"baisser, baissé/baissée (baissant)"
souhaiter,VER,,84.21799999999999,"souhaiter, souhaité/souhaitée (souhaitant)"
recommencer,VER,,84.138,"recommencer, recommencé/recommencée (recommençant)"
supporter,VER,,84.112,"supporter, supporté/supportée (supportant)"
regretter,VER,,83.818,"regretter, regretté/regrettée (regrettant)"
séparer,VER,,83.652,"séparer, séparé/séparée (séparant)"
défendre,VER,,83.562,"défendre, défendu/défendue (défendant)"
vérifier,VER,,82.63000000000001,"vérifier, vérifié/vérifiée (vérifiant)"
douter,VER,,81.906,"douter, douté/doutée (doutant)"
poursuivre,VER,,81.46600000000001,"poursuivre, poursuivi/poursuivie (poursuivant)"
discuter,VER,,81.312,"discuter, discuté/discutée (discutant)"
signer,VER,,81.238,"signer, signé/signée (signant)"
sonner,VER,,81.22999999999999,"sonner, sonné/sonnée (sonnant)"
surprendre,VER,,80.72800000000001,"surprendre, surpris/surprise (surprenant)"
mériter,VER,,80.048,"mériter, mérité/méritée (méritant)"
blesser,VER,,79.568,"blesser, blessé/blessée (blessant)"
allumer,VER,,79.392,"allumer, allumé/allumée (allumant)"
partager,VER,,79.044,"partager, partagé/partagée (partageant)"
étonner,VER,,78.798,"étonner, étonné/étonnée (étonnant)"
engager,VER,,78.768,"engager, engagé/engagée (engageant)"
éloigner,VER,,77.934,"éloigner, éloigné/éloignée (éloignant)"
arracher,VER,,77.866,"arracher, arraché/arrachée (arrachant)"
prévoir,VER,,77.768,"prévoir, prévu/prévue (prévoyant)"
mêler,VER,,77.36000000000001,"mêler, mêlé/mêlée (mêlant)"
diriger,VER,,77.332,"diriger, dirigé/dirigée (dirigeant)"
couler,VER,,76.99600000000001,"couler, coulé/coulée (coulant)"
profiter,VER,,76.80799999999999,"profiter, profité/profitée (profitant)"
fuir,VER,,76.66,"fuir, fui/fuie (fuyant)"
saisir,VER,,76.382,"saisir, saisi/saisie (saisissant)"
parvenir,VER,,76.206,"parvenir, parvenu/parvenue (parvenant)"
fixer,VER,,76.018,"fixer, fixé/fixée (fixant)"
dépêcher,VER,,75.99999999999999,"dépêcher, dépêché/dépêchée (dépêchant)"
avouer,VER,,75.424,"avouer, avoué/avouée (avouant)"
ressentir,VER,,75.324,"ressentir, ressenti/ressentie (ressentant)"
appuyer,VER,,74.974,"appuyer, appuyé/appuyée (appuyant)"
prouver,VER,,74.27,"prouver, prouvé/prouvée (prouvant)"
relever,VER,,73.66600000000001,"relever, relevé/relevée (relevant)"
coller,VER,,73.65,"coller, collé/collée (collant)"
régler,VER,,73.162,"régler, réglé/réglée (réglant)"
créer,VER,,73.02199999999999,"créer, créé/créée (créant)"
élever,VER,,72.758,"élever, élevé/élevée (élevant)"
surveiller,VER,,72.648,"surveiller, surveillé/surveillée (surveillant)"
pencher,VER,,72.492,"pencher, penché/penchée (penchant)"
placer,VER,,72.468,"placer, placé/placée (plaçant)"
juger,VER,,72.45599999999999,"juger, jugé/jugée (jugeant)"
laver,VER,,72.422,"laver, lavé/lavée (lavant)"
prêter,VER,,72.036,"prêter, prêté/prêtée (prêtant)"
observer,VER,,72.0,"observer, observé/observée (observant)"
crever,VER,,71.59,"crever, crevé/crevée (crevant)"
dîner,VER,,71.444,"dîner, dîné (dînant)"
accrocher,VER,,70.90800000000002,"accrocher, accroché/accrochée (accrochant)"
entraîner,VER,,70.84,"entraîner, entraîné/entraînée (entraînant)"
ficher,VER,,70.432,"ficher, fiché/fichée (fichant)"
repartir,VER,,70.332,"repartir, reparti/repartie (repartant)"
commander,VER,,70.23,"commander, commandé/commandée (commandant)"
remplir,VER,,69.29400000000001,"remplir, rempli (remplissant)"
coûter,VER,,69.134,"coûter, coûté/coûtée (coûtant)"
écraser,VER,,68.976,"écraser, écrasé/écrasée (écrasant)"
forcer,VER,,68.94800000000001,"forcer, forcé/forcée (forçant)"
former,VER,,67.922,"former, formé/formée (formant)"
livrer,VER,,67.89,"livrer, livré/livrée (livrant)"
hésiter,VER,,67.00800000000001,"hésiter, hésité (hésitant)"
virer,VER,,66.916,"virer, viré/virée (virant)"
marquer,VER,,66.7,"marquer, marqué/marquée (marquant)"
fatiguer,VER,,66.57,"fatiguer, fatigué/fatiguée (fatiguant)"
causer,VER,,66.168,"causer, causé/causée (causant)"
éteindre,VER,,65.11999999999999,"éteindre, éteint/éteinte (éteignant)"
éclater,VER,,64.986,"éclater, éclaté/éclatée (éclatant)"
libérer,VER,,64.866,"libérer, libéré/libérée (libérant)"
éprouver,VER,,64.846,"éprouver, éprouvé/éprouvée (éprouvant)"
désirer,VER,,64.13399999999999,"désirer, désiré/désirée (désirant)"
apprécier,VER,,63.97399999999999,"apprécier, apprécié/appréciée (appréciant)"
plaindre,VER,,63.886,"plaindre, plaint/plainte (plaignant)"
taper,VER,,63.806,"taper, tapé/tapée (tapant)"
représenter,VER,,63.484,"représenter, représenté/représentée (représentant)"
plaisanter,VER,,63.25,"plaisanter, plaisanté (plaisantant)"
enfermer,VER,,63.230000000000004,"enfermer, enfermé/enfermée (enfermant)"
téléphoner,VER,,63.105999999999995,"téléphoner, téléphoné (téléphonant)"
gêner,VER,,63.06,"gêner, gêné/gênée (gênant)"
attirer,VER,,63.054,"attirer, attiré/attirée (attirant)"
moquer,VER,,62.814,"moquer, moqué/moquée (moquant)"
habiller,VER,,61.906000000000006,"habiller, habillé/habillée (habillant)"
promener,VER,,61.788,"promener, promené/promenée (promenant)"
construire,VER,,61.61,"construire, construit/construite (construisant)"
ennuyer,VER,,61.135999999999996,"ennuyer, ennuyé/ennuyée (ennuyant)"
considérer,VER,,60.772000000000006,"considérer, considéré/considérée (considérant)"
allonger,VER,,60.494,"allonger, allongé/allongée (allongeant)"
inventer,VER,,60.268,"inventer, inventé/inventée (inventant)"
chasser,VER,,60.122,"chasser, chassé/chassée (chassant)"
interdire,VER,,59.988,"interdire, interdit/interdite (interdisant)"
soulever,VER,,59.908,"soulever, soulevé/soulevée (soulevant)"
presser,VER,,59.772000000000006,"presser, pressé (pressant)"
signifier,VER,,59.524,"signifier, signifié/signifiée (signifiant)"
demeurer,VER,,59.448,"demeurer, demeuré/demeurée (demeurant)"
entourer,VER,,59.230000000000004,"entourer, entouré/entourée (entourant)"
rapporter,VER,,59.166000000000004,"rapporter, rapporté/rapportée (rapportant)"
pleuvoir,VER,,59.138000000000005,"pleuvoir, plu (pleuvant)"
reculer,VER,,58.91,"reculer, reculé/reculée (reculant)"
posséder,VER,,58.548,"posséder, possédé/possédée (possédant)"
accorder,VER,,58.498000000000005,"accorder, accordé/accordée (accordant)"
récupérer,VER,,58.28,"récupérer, récupéré/récupérée (récupérant)"
endormir,VER,,58.18600000000001,"endormir, endormi (endormant)"
trembler,VER,,58.098,"trembler, tremblé/tremblée (tremblant)"
secouer,VER,,57.94,"secouer, secoué/secouée (secouant)"
étendre,VER,,57.896,"étendre, étendu/étendue (étendant)"
briser,VER,,57.768,"briser, brisé/brisée (brisant)"
adresser,VER,,57.64200000000001,"adresser, adressé/adressée (adressant)"
produire,VER,,57.454,"produire, produit/produite (produisant)"
rater,VER,,57.35,"rater, raté/ratée (ratant)"
nourrir,VER,,57.33,"nourrir, nourri/nourrie (nourrissant)"
réaliser,VER,,57.141999999999996,"réaliser, réalisé/réalisée (réalisant)"
dépasser,VER,,57.084,"dépasser, dépassé/dépassée (dépassant)"
grandir,VER,,57.06999999999999,"grandir, grandi/grandie (grandissant)"
déposer,VER,,56.934,"déposer, déposé/déposée (déposant)"
songer,VER,,56.698,"songer, songé (songeant)"
débarrasser,VER,,56.629999999999995,"débarrasser, débarrassé/débarrassée (débarrassant)"
attacher,VER,,56.226,"attacher, attaché/attachée (attachant)"
ramasser,VER,,56.176,"ramasser, ramassé/ramassée (ramassant)"
piquer,VER,,55.980000000000004,"piquer, piqué/piquée (piquant)"
remplacer,VER,,55.948,"remplacer, remplacé/remplacée (remplaçant)"
enfoncer,VER,,55.900000000000006,"enfoncer, enfoncé/enfoncée (enfonçant)"
interroger,VER,,55.80200000000001,"interroger, interrogé/interrogée (interrogeant)"
ranger,VER,,55.766000000000005,"ranger, rangé/rangée (rangeant)"
parier,VER,,55.419999999999995,"parier, parié (pariant)"
hurler,VER,,55.362,"hurler, hurlé/hurlée (hurlant)"
ravir,VER,,54.766,"ravir, ravi/ravie (ravissant)"
étudier,VER,,54.704,"étudier, étudié/étudiée (étudiant)"
déclarer,VER,,54.226000000000006,"déclarer, déclaré/déclarée (déclarant)"
saluer,VER,,54.11,"saluer, salué/saluée (saluant)"
enfuir,VER,,54.105999999999995,"enfuir, enfui/enfuie (enfuyant)"
admettre,VER,,53.814,"admettre, admis/admise (admettant)"
murmurer,VER,,53.794000000000004,"murmurer, murmuré/murmurée (murmurant)"
peindre,VER,,53.738,"peindre, peint/peinte (peignant)"
plonger,VER,,53.664,"plonger, plongé/plongée (plongeant)"
planter,VER,,53.326,"planter, planté/plantée (plantant)"
convenir,VER,,52.804,"convenir, convenu/convenue (convenant)"
confier,VER,,52.712,"confier, confié/confiée (confiant)"
respecter,VER,,52.678,"respecter, respecté/respectée (respectant)"
renvoyer,VER,,52.611999999999995,"renvoyer, renvoyé/renvoyée (renvoyant)"
convaincre,VER,,52.566,"convaincre, convaincu/convaincue (convainquant)"
nommer,VER,,52.28,"nommer, nommé/nommée (nommant)"
insister,VER,,52.108,"insister, insisté (insistant)"
écarter,VER,,51.842,"écarter, écarté/écartée (écartant)"
refaire,VER,,51.286,"refaire, refait/refaite (refaisant)"
balancer,VER,,51.152,"balancer, balancé/balancée (balançant)"
menacer,VER,,50.806,"menacer, menacé/menacée (menaçant)"
dépendre,VER,,50.794000000000004,"dépendre, dépendu (dépendant)"
renoncer,VER,,50.774,"renoncer, renoncé/renoncée (renonçant)"
réparer,VER,,50.676,"réparer, réparé/réparée (réparant)"
dresser,VER,,50.672000000000004,"dresser, dressé/dressée (dressant)"
souffler,VER,,50.458,"souffler, soufflé/soufflée (soufflant)"
bosser,VER,,50.148,"bosser, bossé (bossant)"
dessiner,VER,,49.846000000000004,"dessiner, dessiné/dessinée (dessinant)"
briller,VER,,49.834,"briller, brillé (brillant)"
concerner,VER,,49.774,"concerner, concerné/concernée (concernant)"
enterrer,VER,,49.64,"enterrer, enterré/enterrée (enterrant)"
chier,VER,,49.574,"chier, chié/chiée (chiant)"
transformer,VER,,49.562,"transformer, transformé/transformée (transformant)"
prononcer,VER,,49.426,"prononcer, prononcé/prononcée (prononçant)"
survivre,VER,,49.28,"survivre, survécu (survivant)"
pendre,VER,,49.010000000000005,"pendre, pendu/pendue (pendant)"
nettoyer,VER,,48.414,"nettoyer, nettoyé/nettoyée (nettoyant)"
prétendre,VER,,48.35000000000001,"prétendre, prétendu/prétendue (prétendant)"
croiser,VER,,47.843999999999994,"croiser, croisé/croisée (croisant)"
réunir,VER,,47.834,"réunir, réuni/réunie (réunissant)"
avaler,VER,,47.641999999999996,"avaler, avalé/avalée (avalant)"
accuser,VER,,47.604,"accuser, accusé/accusée (accusant)"
organiser,VER,,47.604,"organiser, organisé/organisée (organisant)"
haïr,VER,,47.524,"haïr, haï/haïe (haïssant)"
exprimer,VER,,47.068,"exprimer, exprimé/exprimée (exprimant)"
vider,VER,,46.732,"vider, vidé/vidée (vidant)"
admirer,VER,,46.706,"admirer, admiré/admirée (admirant)"
coincer,VER,,46.414,"coincer, coincé/coincée (coinçant)"
achever,VER,,46.35,"achever, achevé/achevée (achevant)"
abattre,VER,,46.32599999999999,"abattre, abattu/abattue (abattant)"
pénétrer,VER,,46.292,"pénétrer, pénétré/pénétrée (pénétrant)"
mordre,VER,,46.290000000000006,"mordre, mordu/mordue (mordant)"
supplier,VER,,45.98,"supplier, supplié/suppliée (suppliant)"
soigner,VER,,45.96,"soigner, soigné/soignée (soignant)"
disposer,VER,,45.914,"disposer, disposé/disposée (disposant)"
rompre,VER,,45.878,"rompre, rompu/rompue (rompant)"
soutenir,VER,,45.824,"soutenir, soutenu/soutenue (soutenant)"
effacer,VER,,45.548,"effacer, effacé/effacée (effaçant)"
imposer,VER,,45.524,"imposer, imposé/imposée (imposant)"
obéir,VER,,45.424,"obéir, obéi/obéie (obéissant)"
