lemme,cgram,genre,freqlem,forms
champ,NOM,m,76.928,"champ, champs"
pluie,NOM,f,76.688,"pluie, pluies"
rendez-vous,NOM,m,76.658,rendez-vous
action,NOM,f,76.53399999999999,"action, actions"
glace,NOM,f,76.496,"glace, glaces"
moitié,NOM,f,76.482,"moitié, moitiés"
entrée,NOM,f,76.36,"entrée, entrées"
course,NOM,f,75.976,"course, courses"
fric,NOM,m,75.974,"fric, frics"
bouteille,NOM,f,75.964,"bouteille, bouteilles"
bande,NOM,f,75.908,"bande, bandes"
billet,NOM,m,75.754,"billet, billets"
machine,NOM,f,74.632,"machine, machines"
nature,NOM,f,74.472,"nature, natures"
avance,NOM,f,74.47,"avance, avances"
télé,NOM,f,74.312,"télé, télés"
santé,NOM,f,74.294,"santé, santés"
désir,NOM,m,74.046,"désir, désirs"
vacance,NOM,f,73.768,"vacance, vacances"
campagne,NOM,f,73.564,"campagne, campagnes"
feuille,NOM,f,73.276,"feuille, feuilles"
vêtement,NOM,m,72.944,"vêtement, vêtements"
tas,NOM,m,72.68,tas
sommeil,NOM,m,72.638,"sommeil, sommeils"
cou,NOM,m,72.59,"cou, cous"
mesure,NOM,f,72.426,"mesure, mesures"
a,NOM,m,72.276,a
conversation,NOM,f,71.438,"conversation, conversations"
chaise,NOM,f,71.33600000000001,"chaise, chaises"
pute,NOM,f,71.258,"pute, putes"
but,NOM,m,71.22200000000001,"but, buts"
malheur,NOM,m,71.19,"malheur, malheurs"
gamin,NOM,m,70.844,gamin/gamine gamins/gamines
poisson,NOM,m,70.69,"poisson, poissons"
courage,NOM,m,70.57400000000001,"courage, courages"
lieutenant,NOM,m,70.566,"lieutenant, lieutenants"
mission,NOM,f,70.524,"mission, missions"
soin,NOM,m,70.49,"soin, soins"
danger,NOM,m,70.474,"danger, dangers"
direction,NOM,f,70.25200000000001,"direction, directions"
pont,NOM,m,70.182,"pont, ponts"
société,NOM,f,70.16799999999999,"société, sociétés"
meilleur,NOM,m,70.044,meilleur/meilleure meilleurs/meilleures
chaleur,NOM,f,69.96600000000001,"chaleur, chaleurs"
montagne,NOM,f,69.934,"montagne, montagnes"
détail,NOM,m,69.928,"détail, détails"
page,NOM,,69.86200000000001,"page, pages"
enfer,NOM,m,69.856,"enfer, enfers"
projet,NOM,m,69.75399999999999,"projet, projets"
marché,NOM,m,69.588,"marché, marchés"
chanson,NOM,f,69.572,"chanson, chansons"
cinéma,NOM,m,69.498,"cinéma, cinémas"
phrase,NOM,f,69.394,"phrase, phrases"
ferme,NOM,f,69.332,"ferme, fermes"
mademoiselle,NOM,f,69.332,"mademoiselle, mademoiselles"
arrière,NOM,m,69.28999999999999,"arrière, arrières"
connerie,NOM,f,69.144,"connerie, conneries"
pitié,NOM,f,69.072,"pitié, pitiés"
radio,NOM,,68.938,"radio, radios"
est,NOM,m,68.93599999999999,est
meurtre,NOM,m,68.858,"meurtre, meurtres"
vol,NOM,m,68.776,"vol, vols"
note,NOM,f,68.664,"note, notes"
ennui,NOM,m,68.632,"ennui, ennuis"
recherche,NOM,f,68.3,"recherche, recherches"
herbe,NOM,f,68.29,"herbe, herbes"
trace,NOM,f,68.216,"trace, traces"
