lemme,cgram,genre,freqlem,forms
indifférent,ADJ,m,14.744000000000002,indifférent/indifférente indifférents/indifférentes
abandonné,ADJ,m,14.718,abandonné/abandonnée abandonnés/abandonnées
honteux,ADJ,m,14.632,honteux/honteuse honteux/honteuses
pratique,ADJ,,14.584,"pratique, pratiques"
débile,ADJ,,14.518,"débile, débiles"
suspect,ADJ,m,14.498000000000001,suspect/suspecte suspects/suspectes
enfantin,ADJ,m,14.494,enfantin/enfantine enfantins/enfantines
vidéo,ADJ,,14.461999999999998,vidéo
confortable,ADJ,,14.347999999999999,"confortable, confortables"
désagréable,ADJ,,14.302,"désagréable, désagréables"
impatient,ADJ,m,14.288,impatient/impatiente impatients/impatientes
volontaire,ADJ,,14.284,"volontaire, volontaires"
indispensable,ADJ,,14.23,"indispensable, indispensables"
précédent,ADJ,m,14.226,précédent/précédente précédents/précédentes
technique,ADJ,,14.155999999999999,"technique, techniques"
courant,ADJ,m,14.134,courant/courante courants/courantes
intense,ADJ,,14.097999999999999,"intense, intenses"
splendide,ADJ,,14.094000000000001,"splendide, splendides"
historique,ADJ,,14.082,"historique, historiques"
carré,ADJ,m,14.06,carré/carrée carrés/carrées
minable,ADJ,,13.968,"minable, minables"
parisien,ADJ,m,13.882,parisien/parisienne parisiens/parisiennes
probable,ADJ,,13.86,"probable, probables"
mûr,ADJ,m,13.826,mûr/mûre mûrs/mûres
cardiaque,ADJ,,13.818,"cardiaque, cardiaques"
ardent,ADJ,m,13.814,ardent/ardente ardents/ardentes
inattendu,ADJ,m,13.716000000000001,inattendu/inattendue inattendus/inattendues
monstrueux,ADJ,m,13.71,monstrueux/monstrueuse monstrueux/monstrueuses
innombrable,ADJ,,13.702000000000002,"innombrable, innombrables"
subtil,ADJ,m,13.687999999999999,subtil/subtile subtils/subtiles
