word,pos,definition
Orthopédagogie,n.f.,Ensemble des principes et des méthodes pédagogiques visant à remédier aux troubles d'apprentissage chez les élèves en difficulté ou handicapés.
Ouache /,interj.,Exprime le dégoût.
Ouananiche,n.f.,Saumon d'eau douce.
Ouch /,interj.,Exprime la douleur.
Pantoute /,adv. fam.,Pas du tout.
Paravoile,n.m. ou f.,Parachutisme ascensionnel nautique.
Parcomètre,n.m.,Parcmètre.
Parlable,adj.,Personne d'un abord facile.
Parlure,n.f.,"Façon de s'exprimer propre à quelqu'un, à un groupe."
Pasteure,n.f.,Féminin de pasteur.
Patarafe,n.f.,"Affront, injure."
Patenter,vt.,Fam. Réparer sommairement; bricoler.
"Patenteux, Euse",adj et n.,Se dit d'un bricoleur ingénieux.
"Patroneux, Euse",n.,Personne qui pratique le patronage.
Peignure,n.f.,Coiffure.
Pembina,n.m.,Ou PIMBINA) Fruit de l'obier.
Pépine,n.f.,Excavatrice.
Pepperoni,n.m.,Saucisson épicé fait de viande de boeuf et de porc.
Péquiste,adj et n.,Membre du parti québécois.
Perchaude,n.f.,Perche d'eau douce.
Physiatre,n.,Médecin traitant les troubles locomoteurs.
Physiatrie,n.f.,Branche de la médecine qui prévient et traite les troubles de l'appareil locomoteur.
Piastre,n.f.,Billet de un dollar.
Pichenotte,n.f.,Pichenette.
Pichou,n.m.,Mocassin.
Picosser,vt.,Picorer.
Picouille,n.f.,"Cheval maigre, haridelle."
Pigouiller,vt.,"En Acadie, tisonner."
Pinotte,n.f. fam.,Peanut.
Piquerie,n.f.,Lieu où l'on se drogue.
"Piqueteur, Euse",n.,Personne qui participe à un piquet de grève.
Pitonner,vt.,Zapper.
"Pitonneux, Euse",n.,Zappeur.
Pitou,n.m.,Chien. - Terme affectueux.
Placotage,n.m.,Fam. Action de placoter; bavardage; médisance.
Placoter,vt.,Raconter.
"Plaignard, E",adj et n.,Geignard.
Planchodrome,n.m.,Skatepark.
Plaquebière,n.f.,"Ronce, petit mûrier."
Plugiciel,n.m. inf.,Logiciel qui associe de nouvelles fonctions à une application.
Podiatre,n.,Pédicure.
Podiatrie,n.f.,Branche de la médecine qui étudie et traite les anomalies et les affections du pied.
Podiatrique,adj.,Relatif à la podiatrie.
Podorythmie,n.f.,Art de produire un rythme avec ses pieds.
Pogner,vt. fam.,Attraper.
Poigner,vt.,Saisir.
Polyvalente,n.f.,École secondaire publique où sont dispensés à la fois un enseignement général et un enseignement professionnel.
Pommetier,n.m.,(= POMMETTIER) Pommier de petite taille.
Pommettier,n.m.,(= POMMETIER) Pommier de petite taille.
Poquer,vt.,"Marquer de coups, meurtrir."
Portager,vt.,Porter une embarcation là où on ne peut naviguer.
Possesseure,n.f.,Féminin de possesseur.
Poucer,vi.,Faire de l'autostop.
"Pouceur, Euse",n.,Autostoppeur.
Poulamon,n.m.,Petit poisson des chenaux.
