"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche
"réponse à l'accusation (n. f.)",normalisation,"droit > droit pénal et criminel;criminologie",2001-07-01,2000-12-01,Fait pour un accusé de plaider coupable ou non coupable à une accusation.,plea,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198700/reponse-a-laccusation
"respect (n. m.)",normalisation,"droit",2001-07-01,2000-12-01,"En parlant d'une règle, action de l'observer, de la respecter, de s'y conformer, de l'appliquer.",observance,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198701/respect
"ressort (n. m.)",normalisation,"droit",2001-07-01,2000-12-01,Étendue géographique constituant l'objet de la compétence territoriale d'une autorité administrative ou juridictionnelle.,jurisdiction,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198702/ressort
"interprétatif (adj.)",normalisation,"droit",2001-07-01,2000-12-01,Se dit d'un acte juridique qui interprète un acte antérieur obscur.,declaratory,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198703/interpretatif
"droit substantiel (n. m.)",normalisation,"droit > droit substantiel",2001-07-01,2000-12-01,"Ensemble des règles de fond qui régissent un domaine particulier du droit, par opposition aux règles de procédure.",substantive law,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198704/droit-substantiel
"collectivité locale (n. f.)",normalisation,"droit > droit administratif",2001-07-01,2000-12-01,"Personne morale de droit public, constituée des habitants d'un territoire organisé en circonscription administrative, et qui gère les intérêts de ceux-ci par le moyen d'autorités élues.",local government,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198705/collectivite-locale
"fondation (n. f.)",normalisation,"droit > droit civil",2001-07-01,2000-12-01,"Groupement de biens affecté irrévocablement et à titre gratuit à la réalisation d'une œuvre d'intérêt général, à caractère durable et non lucratif, au moyen soit d'une fiducie, soit d'une personne morale.",foundation,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198706/fondation
"personne morale (n. f.)",normalisation,"droit > droit civil",2006-09-01,2000-12-01,"Entité dotée, dans les conditions prévues par la loi, de la personnalité juridique, et donc capable, à l'instar d'une personne physique, d'être titulaire de droits et d'obligations.",legal person,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198707/personne-morale
"carburant (n. m.)",normalisation,"pétrole et gaz naturel > produit pétrolier",2001-01-01,1982-08-01,"Combustible qui est destiné à alimenter les moteurs à allumage par étincelle et à allumage par compression, et les moteurs à réaction.",fuel,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198708/carburant
"pavillon (n. m.)",normalisation,"administration publique > sécurité sociale;éducation > établissement d'enseignement;médecine > établissement de santé",2005-07-01,2001-02-01,Subdivision d'un établissement située sur le même terrain que le bâtiment auquel elle est rattachée administrativement et matériellement.,pavilion,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198709/pavillon
